itemID|rec_1|rec_2|rec_3|rec_4|rec_5
19994|8840|29774|49168|71614|26120
47098|34213|60481|15715|37908|44842
54190|18411|41247|5490|54969|59179
61043|44069|53710|38451|63431|47920
78675|33512|10713|28239|68991|27148
40394|8149|471|307|45394|35847
43844|76137|37565|6306|68207|18081
27300|15188|62367|38290|10070|76399
22870|64640|43238|39670|1547|3615
61707|44115|49275|48519|56184|15204
17888|7983|51862|7850|38423|22581
48292|75548|34959|47376|18766|9011
2054|23518|57722|39874|7359|36787
6643|24777|17547|61661|10300|2126
3857|12726|45436|8221|75681|56143
64350|78728|29719|37367|34996|49654
10833|49521|29798|78361|37323|38044
33556|31709|71374|73418|23417|49654
23256|87|14050|31874|2964|25780
53880|7548|1904|32061|56719|61159
75694|14427|61520|5131|33409|73056
17770|55507|53934|21304|37874|68572
9365|56869|60882|62549|41163|4155
11177|68293|58177|51862|21237|26272
48659|27477|73672|22291|46886|73563
18169|20691|38913|55524|61166|21320
48490|52670|44757|23189|32794|58099
70627|56265|73314|51160|54323|64088
40000|1113|69163|17937|26914|26773
18665|52938|1265|65637|75094|71787
35574|77348|26272|21237|58177|18999
11732|1530|76383|47456|43021|61633
6798|33342|33862|30090|25674|76226
42415|13497|16573|69330|10295|66855
64236|37565|68207|18081|16841|52863
60644|46822|4787|40521|20674|69525
11595|32858|44047|62260|58890|24894
39957|63989|64493|27676|58306|33861
1519|61342|12893|64088|27438|57069
10075|30879|48846|5717|22776|66724
25209|35442|19744|43957|30482|11240
7108|25780|44069|6348|44025|77296
67848|21472|22581|32940|43879|44032
40424|54543|33014|27981|1555|59553
72523|63304|75876|19277|55206|78556
60588|19399|44509|32391|22581|61431
21315|58177|21237|26336|68924|26272
50356|39253|60780|64507|9795|30237
75904|68843|12143|34312|27438|68991
17240|2968|52116|24720|15978|38084
24218|38305|44115|49275|56184|19849
21949|56184|52764|28090|40258|71418
6478|28026|55616|45933|75128|59589
76242|7713|7121|63094|32431|23203
71112|30830|7850|43879|14419|32940
76437|75351|59345|765|7413|17328
52656|23640|49252|10846|73090|63098
10304|11688|27899|46457|47456|7413
25399|49165|38709|1228|37773|505
71619|2094|70228|19118|40783|8479
31439|26728|26483|15970|72379|72875
14323|45820|5087|19669|21580|44362
10842|67833|65026|6621|41103|21567
39515|9419|1966|48838|28653|625
59732|56193|16024|21668|53801|12602
56452|35069|50058|46124|27451|51819
53496|10972|53365|11688|41804|53529
27903|11330|38995|31123|68007|14080
53672|31227|8706|72461|60509|66121
29813|75351|59345|23101|765|7413
67909|22621|10550|40795|36560|18007
36620|19382|75876|63304|58519|78556
44197|61456|28680|13725|69930|35248
68772|8180|54858|499|21732|15970
72058|78865|5519|40255|40535|54246
17921|2982|75321|143|765|24998
67832|33157|18146|52620|847|8459
73203|73222|11421|52531|44032|39374
30873|6557|18286|50744|33404|70528
46059|56059|77948|57117|16119|75876
49615|77442|63647|35311|13964|19822
76629|47312|42254|22581|23640|39374
55488|61837|4686|53582|53086|29054
30713|143|78405|71257|38435|15278
3527|77268|41927|68326|68098|22192
52884|36866|9166|56331|64880|59878
48270|19628|17583|24384|16761|65004
18224|6651|20973|26479|32664|11115
39309|1424|74173|7756|20302|51675
11265|12140|23526|29513|77342|10623
8288|50154|49713|27413|553|31977
40312|24755|17091|7696|69113|26464
35418|38044|12595|77576|64871|50509
78181|17562|53174|33303|62821|49987
8859|31427|62459|52321|51523|66582
3875|65369|71454|57366|5993|885
17348|41811|48763|60602|78556|44916
37321|29303|70349|12388|45300|64679
22277|38971|29480|36670|14684|78556
52705|7850|21472|32940|14877|30830
26856|47881|14877|17444|22581|44069
36095|54550|48418|53846|25513|46674
66497|14617|61673|49887|45614|40258
55326|38044|18081|15978|37565|68207
3959|4836|65301|46086|68263|22527
66928|50451|77483|49188|3172|46164
23159|46377|65708|69228|21183|75884
76762|66650|12978|61178|64261|14024
73748|64606|6271|41356|39713|70915
8248|10880|47236|23588|19463|52418
39766|28771|20395|41157|13323|40159
49234|28502|54692|29736|77474|6848
23366|9933|72508|70026|26120|19849
59734|22603|52569|49252|23640|17444
41020|59441|13939|7715|22356|55069
74389|78983|50706|39299|50447|43782
8538|12997|60657|847|52620|61252
40113|78512|61589|43471|3266|61952
32980|4013|22780|13500|60778|34667
47068|44025|66724|77296|53094|32940
20083|41369|15227|39296|20287|10456
31728|76427|53801|43021|47457|47328
52192|56184|48519|59865|44830|494
62732|56972|20455|25693|70909|16190
30746|28851|34655|69794|27786|65937
22622|177|10841|6444|25976|72508
54612|35508|77855|41056|35035|67027
59032|13647|59614|41847|74310|3943
26385|52620|847|54696|327|19569
65461|74747|371|1232|11688|46457
54835|72155|75815|33202|73277|55611
54737|45467|31260|48266|44409|74363
76905|60579|53472|52269|60051|65664
45093|29478|32545|18686|4251|54127
31273|13785|5289|50260|7352|55673
851|72857|11286|2938|71544|38423
16935|48802|72736|58150|70558|41626
28379|25635|30601|72746|54075|22953
17009|46516|14024|58524|75899|22987
1486|33672|39374|64982|7850|4185
62630|22603|1431|53710|51862|38451
34682|54901|19678|43307|43739|38947
6741|72666|65847|30721|65582|74638
20852|71784|8202|1685|10414|60822
22265|74274|58432|44724|4013|22780
2244|59345|75351|765|7413|17328
26396|43701|41024|42370|29901|29003
48796|34460|12413|23640|10846|73090
45501|77036|55206|23101|36261|35018
26445|38044|15978|66492|16498|20840
457|38423|21237|10846|7983|26336
35752|11898|67723|44203|37692|72469
47491|68356|2135|29842|21729|73731
43762|71591|52422|27775|35302|31629
23599|65169|23321|51955|62340|26033
13325|2388|2393|3967|59534|4597
3273|12922|4784|63400|8155|148
2257|24406|53659|18758|69549|68389
34670|37565|68207|18081|38044|26466
74105|20042|9725|32391|24008|21237
35720|26607|74053|49056|27721|60909
71526|20260|72879|50656|46902|70528
21737|76533|10036|73797|21729|73731
7860|7272|76152|44642|70330|38314
41648|18955|37632|30485|37626|63435
1640|37565|38044|15978|18081|68207
33814|45991|31164|35293|74591|1431
19717|41353|70558|64698|53940|58150
78998|30283|46065|40412|18996|19321
23643|32192|58306|25178|35700|38956
68712|24300|57366|68131|29003|20794
63739|15717|4414|54674|4935|78572
42328|75937|58078|42254|68924|17276
23446|9556|17784|64681|55332|63207
21285|37135|8369|53470|70363|53940
72959|33093|19808|38720|22714|1015
8548|24313|12333|17580|30903|26680
21221|16841|18427|4871|2938|52863
12564|9024|50498|21222|59588|68724
9577|56841|55206|77036|62821|49987
29381|15978|7935|16525|38044|1335
19688|53671|76898|64102|78127|43509
45195|75351|46457|51811|77036|23498
22775|52193|15978|7935|38044|26466
13131|33206|31499|8391|68689|32868
8861|24216|55373|16016|21666|3134
1680|19277|63242|55206|62821|49987
62200|61633|28531|1777|43021|47456
73868|51862|22581|47881|14877|28239
7666|23738|71022|67651|27541|30790
7084|54726|78006|49675|79048|26938
74586|57147|8491|78042|19237|63172
2335|10414|29893|4410|23428|47515
22877|75472|26120|72508|9933|22368
68509|10281|24083|79065|77436|37129
28737|7160|43366|74194|26508|72665
66339|38238|59737|20695|32940|38720
49803|494|59865|56184|44830|48519
14189|78556|53664|27899|60956|62691
9884|47700|68411|36436|12023|24125
67630|70363|19463|10880|70915|39713
11407|7272|47874|76152|35158|20188
8384|73827|59711|63097|12056|5289
75345|30320|2969|77312|11373|39955
45841|75128|21587|10669|40799|38208
63764|917|59059|3802|8758|12237
70197|70842|5348|34964|19157|13442
32109|44866|21183|20239|31536|18303
30434|32675|69062|36062|37119|26694
45358|53801|7272|23101|35158|20188
52721|44588|73177|34465|66237|37461
58820|37173|52221|28064|56472|51133
70803|48543|29134|51159|76149|53657
50338|34534|52620|847|54674|52614
66493|39767|71290|19163|74078|14931
52519|60297|25470|7850|11960|39374
37378||
49952|6379|59829|29688|49747|33449
75882|414|60539|3929|72740|72681
7445|20893|16987|55548|66468|39454
17850|66251|13238|38212|32319|48465
42566|63098|4381|47881|70571|32940
29708|6749|37955|17528|42054|70984
46476|39127|14385|17877|73844|72435
14470|36261|53174|5289|35158|20188
43679|2499|54989|30342|65573|33816
40279|7272|47874|60008|65958|76152
24002|67995|54583|1238|46622|29341
68253|29051|64547|74414|7799|35013
15581|41013|67273|54097|2507|35011
73552|41795|22640|9820|9272|39741
38164|37047|36397|38044|37565|18081
58779|57594|36145|27908|59003|57480
57464|40362|3232|78678|11714|25395
56827|49259|25616|65566|19337|59401
76331|51862|46657|12931|47|59059
12568|29850|11035|36261|44409|74363
63107|15978|75899|44757|38044|23189
39971|49482|19862|54140|26466|37565
24776|70516|1892|7323|45677|51320
65811|2339|30702|48691|8155|66423
77175|37837|591|37865|48822|31843
53717|17049|44069|1431|53710|38451
50340|36957|57310|23101|17328|32979
77554|17444|48496|24008|58074|8289
63279|32192|53997|67476|57655|59682
59821|26466|15978|37565|38044|7935
12725|75326|77274|25926|53710|8181
1235|54404|14877|22581|37723|13725
34899|2871|44644|24404|48679|75661
37797|49319|7332|19755|74553|49149
29368|14024|58524|46516|22987|21016
11378|39990|47456|2765|69718|38982
59092|55902|17969|34673|56832|61068
5362|41353|69219|55207|10823|15886
47933|10704|42723|53380|19827|56986
68560|68849|3356|1689|47690|78531
57628|75656|15978|18081|38044|68207
11682|77859|28211|53784|26466|49124
18601|71298|22154|59995|71798|41455
58566|19714|946|50602|76261|8
29217|20931|75351|59345|765|17328
64901|4833|22764|77255|52355|14314
6359|18600|12311|17794|53600|49428
54801|54634|62867|37857|31199|35902
66017|71444|64579|69254|58552|26881
28302|25780|44069|6348|77296|20395
19235|72807|78312|19029|66646|75851
24078|78528|39454|66468|58177|21237
7924|15978|38044|7935|37565|68207
2993|47889|39107|74132|61312|65004
71202|53525|47228|73134|31452|79048
38543|73433|44093|10846|26336|68924
9943|44916|19277|55206|60602|36261
24706|66347|21183|31536|18303|35893
17298|51923|71287|62821|49987|19277
49279|21540|38622|13702|70363|52620
7129|32649|49678|16278|40589|4410
54586|67469|65717|73660|53710|58370
55270|16096|60724|69313|68419|66753
16937|65681|38509|43144|4072|3914
44508|51796|24585|33911|6105|7480
28976|41759|49556|15474|45655|59485
9612|59737|20695|38238|40550|38720
43313|17276|42254|58078|50374|31302
46237|55679|71300|74132|65004|71859
14883|74732|53801|23101|35158|20188
71036|4959|13032|30863|21821|77658
71886|1258|45208|41043|32847|58463
70372|72588|30536|23678|6934|48146
14750|75966|9613|55073|15264|40183
52053|8147|50137|5268|10528|58432
51638|37565|68207|18081|38044|26466
61875|55198|48421|29252|30355|27299
42039|27058|45921|18148|72469|57069
25598|15978|37565|38044|18081|68207
23417|73418|31709|33556|71374|51523
30446|255|5790|21325|17511|1048
27104|69014|67389|31865|17429|32842
61715|19463|9779|70915|10880|39713
72826|4550|33503|36113|13817|67149
7415|17066|60599|21829|18962|66888
11688|63552|26020|65214|32690|58165
12209|31533|27772|59068|35424|62666
79016|59121|53240|77768|22802|26847
6019|70356|65958|40153|36118|2451
14436|41762|34842|40114|62347|64833
75422|12526|47440|73359|2239|58102
10482|57808|35748|4369|22587|69093
24686|76733|29101|2210|53274|57029
50313|36735|47447|41157|20395|13323
58067|56301|17065|67387|20945|20009
37854|42073|44868|8289|13725|61431
24118|49678|16278|32649|76350|40589
66750|22780|13500|4013|20390|63307
8116|22705|2982|7763|59485|27899
62540|306|997|68089|61454|52063
25663|58262|48000|29485|782|50027
16585|47621|60457|43290|2135|28403
28466|23233|4381|30096|60853|33404
42531|3734|26199|49438|30103|62341
39680|67605|68817|17234|23000|56382
51560|40655|55431|38044|8995|48988
13374|59105|64256|35342|23640|72348
18441|63304|78796|20133|78607|55207
13880|70363|36858|41353|23588|52661
17383|4410|40589|32649|5806|49678
13014|10382|49335|54855|32261|3728
57674|55299|17106|40298|11908|62976
18756|12051|22152|3990|23210|9211
51964|13010|13845|29445|16240|60905
27403|55067|61333|55338|9123|68934
10871|75128|7850|50432|62473|35721
35456|73562|59096|7638|32210|33132
74872|37870|64693|27186|4999|43661
63796|29719|37367|34996|78728|49654
63457|74274|58432|13500|44724|22780
55057|73654|19744|3096|23031|51237
47336|16793|13244|22180|72970|19163
43032|56184|48519|59865|44830|494
63855|1226|43729|54274|62971|22917
72231|52863|38423|44105|16841|39454
11527|76659|6365|39682|3180|527
31548|32945|41469|78893|23914|16532
62812|10756|67569|73878|10294|78423
20266|34283|32231|14265|64251|4944
59605|66753|68419|61246|3929|67167
57163|47876|46789|23155|51347|78609
34307|62620|26581|32021|68323|74510
65903|22991|22581|47881|21472|14877
28580|58177|21237|26272|66468|51862
5197|69855|39697|1069|876|23145
34939|16642|38963|66524|73440|52970
59859|11365|43567|58302|18107|67522
12077|65995|30320|6181|56330|2969
75539|13169|41353|60008|76152|65958
24979|30830|28403|7850|2135|8764
47684|72435|14385|73844|17877|46476
37711|40430|4381|63098|56184|23640
14162|34395|33237|27740|15335|34170
30806|19309|55964|22603|63127|76246
65785|49244|2698|14199|18668|7721
2723|40524|5175|1428|25298|643
52874|56801|17284|54943|63485|53761
2612|59737|58619|25678|73789|47881
63908|21029|45658|61550|5553|18938
12075|9062|20914|15717|327|54696
78080|47775|57215|3067|4717|18661
39083|61906|70967|24478|52826|46600
64333|48338|47086|66799|25693|3148
12640|74072|75249|21813|40222|12289
41002|6907|2648|45564|46629|21999
27038|58519|75876|67202|53518|63304
38637|21892|12893|20390|11225|30500
44894|61510|11643|17300|55438|52617
35904|18081|14366|22603|5472|52569
38819|75351|59345|765|7413|17328
30628|73878|67569|10294|78423|9256
6790|69142|56368|41620|27189|5641
38368|24212|35835|63466|63593|35665
27726|56814|27042|51698|31302|50374
4890|52843|38506|27021|30490|76995
37429|42372|11688|46457|1777|61633
57598|23660|32453|9597|78533|13919
44452|44093|42254|51862|26336|47
77629|53253|55974|43747|28196|13995
44327|14719|63217|73562|26747|33816
21276|75189|77241|7983|58078|65939
46655|7272|35158|20188|41502|78075
35579|74152|75745|48088|64653|17844
56629|16682|25958|19713|43828|9174
47549|18614|61235|9743|2270|51113
31827|66753|68419|53861|20023|50602
41447|58306|32192|27676|22396|33861
57018|60741|58204|45453|46576|15352
69755|42821|78826|78956|3539|11035
16190|38388|36836|74787|857|13028
48231|8037|3245|76493|26120|47881
58737|68923|47239|19261|16165|55876
9001|61141|77091|4705|20260|60853
19462|41478|61922|41705|48427|45082
15267|55872|66986|29719|37367|34996
68076|67621|46516|58524|14024|22987
17617|5462|55120|12091|4259|76999
43701|58948|29901|41024|29003|65369
66224|62549|8181|14447|12725|41163
23132|11071|36261|61143|53174|55206
23535|61562|63884|35545|76423|39789
18479|15978|18081|37565|68207|59647
63017|41368|15779|55543|77796|1132
61316|47340|61483|34121|61797|55875
56775|78749|5324|43320|47893|15073
66954|65177|36846|14396|20441|45596
32532|70849|46873|26336|68924|10846
53813|15302|4381|63098|60853|20260
43877|38044|15978|37565|18081|22753
34078|23389|50371|30096|59216|11460
58561|57310|23101|7272|17328|63097
77952|57011|17949|42835|19986|2347
34978|53997|32192|64839|12414|63821
337|5668|30463|35863|53377|36640
25367|3324|29078|2703|36278|7414
35094|1015|54241|22714|38720|40550
24459|67375|59322|77220|4521|63439
10745|68005|37111|66783|59901|61497
59769|17233|44757|77296|29012|33147
54929|34465|73177|66237|37461|49654
78279|59177|31488|40994|35402|12201
62535|61268|61049|35393|3191|67846
3268|30830|7850|43879|59737|38238
663|48017|24713|69456|57942|67374
32451|11688|27899|765|5337|67489
21607|47262|75550|57142|73438|38557
46904|22599|58067|44795|56301|17065
58236|18908|4861|44289|74855|63220
25488|72736|15717|59500|78486|27786
58262|29485|25663|782|48000|50027
38083|18394|39747|61125|51322|32252
3059|23096|29784|48030|71228|34511
49587|45795|73276|39911|72508|9933
32126|250|11383|64530|78486|52321
48127|67067|41863|62275|29881|46316
59649|3067|47775|57215|66836|50993
17465|18081|68207|37565|38044|26466
53838|51215|27466|33186|55096|68125
37146|8017|32545|18686|4251|72323
40692|7888|46676|24996|37182|33913
53134|26634|50650|44010|40816|23189
10841|33485|67253|28775|50102|59307
11169|74274|58432|13500|4013|22780
68764|56184|59865|44830|494|48519
57342|19789|4214|15063|72800|52897
11603|20519|66585|59713|31427|62459
69838|67825|37860|51659|36281|431
37998|9832|40576|65895|38720|22714
35898|20882|29242|70875|24819|77107
51042|68492|7638|66855|32210|54120
44118|37940|74109|52118|55542|27188
67506|39427|56101|70419|47621|16177
636|7991|17283|54581|77722|38770
2579|61143|66237|73177|34465|37461
45286|39274|22856|68872|9937|20796
18427|16400|52863|4871|8710|5472
28844|47103|40250|70193|55796|50925
65714|27607|6105|12585|35492|43229
24554|37499|63217|73562|33816|26747
36175|51118|68991|28239|12931|27148
72138|54241|72469|38179|72918|23666
45594|57494|22152|3990|59737|20695
24747|2982|78405|765|75351|143
26662|39681|20882|35898|64897|48335
33525|4949|18780|56986|22987|33593
8296|71315|42494|7672|56618|33772
56597|33562|36365|17276|42254|50374
61794|12416|40550|38720|1015|33093
27261|50931|19173|34877|67713|31116
468|63552|58165|12129|73677|60843
29448|50449|73637|43504|58181|29815
726|17544|21446|23456|17443|61859
55154|3977|24929|68953|69338|74220
7977|49252|23640|22581|47881|44032
53078|74084|48292|75548|8710|48500
34125|55119|15978|37565|38044|18081
71063|5249|17589|61966|52614|42444
67063|23914|16532|41469|20696|78893
47597|22916|35990|13485|57983|52010
52305|24486|66046|72145|59500|78486
65833|15978|37565|18081|38044|44757
5733|44047|48380|71775|78006|43290
33494|25024|61974|16476|62481|50569
10881|69436|68846|54793|40423|60602
74196|35795|28824|22677|28677|65515
22160|18999|20042|30207|9725|27148
70190|9523|14551|34321|22848|41047
16191|25908|60169|4820|53940|22662
6363|67751|38356|28431|36284|23319
51060|62751|23498|24757|60956|62821
41219|38305|44115|49275|48519|56184
53100|68205|25155|45380|65772|10899
45871|494|30721|65582|4549|74638
29083|17562|53940|38968|31536|64698
61636|75730|39171|2188|6771|52099
42715|43347|59613|36339|29950|18705
32754|12675|43290|73731|64441|37926
72607|13500|4013|58432|74274|65266
6955|40081|78486|59500|74152|48088
2399|39128|14755|52294|52177|56801
60216|15254|23640|10846|73090|63098
26438|39744|33612|49777|67468|3374
57977|52620|847|4414|8459|78572
47675||
51832|64558|311|58258|44429|44358
29972|7850|22581|58078|65939|4185
33790|7272|41353|76152|65958|40153
45390|50510|75762|77469|20199|53174
11609|18477|45989|23101|35018|59682
73256|15204|49509|63303|58890|25162
20740|41267|28141|36508|6503|56348
24746|7272|47874|60008|76152|65958
33956|20859|6816|20774|52620|75263
11253|57482|76018|20204|67302|25857
5255|57210|39479|36270|64081|43362
24675|68207|37565|18081|26466|37723
58404|37565|15978|18081|7935|37723
47464|38766|54549|31583|64456|40712
39665|48181|54740|28239|68991|13725
18622|42347|73090|27148|51862|68991
54066|50993|55605|66836|42229|55575
30229|71381|6410|68991|34621|18804
71353|16831|72445|71930|70818|38146
14037|29373|78980|65753|47747|35761
71784|8202|6991|46554|58612|70290
46951|39263|5289|61143|14041|60834
61514|12469|59341|72904|53435|7731
27259|43988|42243|23640|10846|73090
45613|49126|60539|24585|24968|53550
22972|14504|5545|26475|39172|6348
45435|44757|15978|18081|37565|38044
62993|24812|31660|23546|78204|25886
64509|70363|52418|47236|10880|19463
46931|74020|76028|59843|56638|15978
65465|38903|6800|20818|74533|45715
60384|62267|10132|5063|39410|44322
31881|17289|26462|43513|2215|4871
67229|37756|38982|58799|67489|35893
58605|70607|36395|13265|76508|28634
6530|3319|45505|28094|7209|16841
43304|63236|36636|53305|72299|56626
21179|38044|15978|37565|68207|18081
28853|48519|56184|494|29728|38305
47632|49208|40699|7272|57655|67476
15039|44069|1431|53710|38451|27058
72722|49304|466|18661|41555|14347
45270|15763|54876|70501|69619|72160
61339|7350|45884|55483|13032|18913
48791|27303|55081|17845|67720|77013
32110|23513|62937|69523|43966|20360
33558|54609|26012|34161|53846|74623
21639|17908|75351|14684|42229|41497
47838|69571|18148|45921|11633|20007
78241|64251|53312|20266|34283|14265
6413|67788|55219|4516|34162|70434
27334|43624|71391|31788|47213|38208
3425|21715|66516|53159|53076|38382
29779|42794|69957|8457|61049|67846
45827|45445|55173|6144|41217|58902
39627|19702|58516|77534|68931|765
39590|68259|52010|64493|28655|15234
1103|49935|944|56779|29929|66129
74813|4074|58458|41501|52664|67933
39000|4861|44289|20053|58236|72644
10434|28228|4655|15238|46671|38696
18320|7168|61868|78034|53156|6997
47893|57602|20876|13245|58019|57687
10426|56404|46113|60567|1861|19639
9179|28403|30830|7850|2135|26748
58906|42556|70359|66145|16265|73926
51702|56053|7699|40194|28318|28019
35470|61031|20479|44364|20938|52661
30816|68075|20950|21845|13696|49441
69589|72544|15847|7413|37513|74721
8109|8457|57372|19468|16300|45586
62276|34803|12590|71446|70518|23498
64534|53489|3159|25763|46503|70782
5300|51338|34371|3163|39430|29934
54461|73539|27849|73461|72448|42440
10326|43176|75471|35846|18975|56096
1071|37565|15978|18081|68207|38044
20234|57959|74416|4630|15244|78563
4525|15978|37565|18081|68207|44757
62509|49108|38399|6001|61119|2800
39941|31032|49159|46099|76685|22926
3583|58243|9118|61625|59039|16700
35236|16300|57372|19468|69957|8457
42326|77036|75351|14931|71290|71287
22868|57552|5526|63172|25972|29134
28533|1993|55699|18231|71022|20909
61752|8457|69957|42794|22126|72330
45955|77296|22776|66371|66724|39172
3166|63368|11802|36552|78822|34164
1168|17176|39029|35280|26028|70913
259|35918|38044|68207|37565|18081
60087|19839|45921|18148|31992|59647
12311|17794|6359|49428|53600|53376
66633|51011|52326|42235|44912|5546
65860|73108|49497|44032|49217|43782
52748|75876|58519|78556|16971|29134
35638|3013|39284|18868|35011|78486
23349|10703|39090|75351|59345|765
30313|30604|15978|68207|18081|37565
5498|54815|66622|45816|59549|60125
45424|59901|38968|27899|8202|71784
15472|26747|32210|33816|4578|20702
13056|30320|6181|56330|25752|52471
14122|195|23904|4101|12444|44757
50582|71487|72501|24170|18451|40964
38840|6181|56330|68316|30320|39110
63023|43549|36964|46726|31536|21183
8516|63559|78188|48700|6828|51052
47014|33172|15248|58306|54393|66006
49396|73539|27849|73461|78827|56733
75774|17000|50226|59030|19913|67476
13180|78526|57206|35721|62473|73712
16340|12431|19533|76044|51810|18081
78314|61239|52889|6232|42842|76718
1460|73562|33816|32210|59096|20702
38005|38996|19937|26267|13269|32246
42622|37565|38044|68207|18081|15978
38523|66108|40302|19478|34230|43968
74041|24264|22666|74132|65004|60656
37011|58771|61305|13478|51564|42341
6288|60079|70757|43971|11676|60271
62728|48602|47456|5337|43021|67489
15949|53736|63307|12893|20390|11225
15715|60481|47098|34213|36574|44842
10097|67495|32120|38328|52753|22700
66177|59485|23498|49987|62821|36261
16746|44069|1431|53710|63431|47920
18879|62380|15276|65293|67530|21183
7655|53801|35158|20188|19838|41497
53378|48088|74152|17844|74213|25466
15167|10452|34184|20977|34462|7430
33517|16177|24755|40585|12444|12289
2975|26650|51943|15321|7850|30830
62454|25882|65581|58177|70648|57029
51133|15602|18521|53167|56472|5261
71805|40655|55431|59865|59737|20695
67073|58528|16498|66492|75828|54951
77384|29339|54847|13708|74576|27549
5844|76699|71593|23508|63141|68565
52718|24450|28794|11952|50045|33268
15767|39747|27176|76769|67740|38083
45935|72389|71593|78957|62347|40114
2142|36816|41626|58150|4095|44364
31637|49742|38044|68207|37565|18081
31129|66636|75603|31530|64671|25513
76150|19207|55431|40655|8995|48988
75867|9543|50706|49056|49199|36274
24085|31237|61017|22756|15265|6516
13973|2203|22987|46516|14024|58524
70180|54623|41142|1416|34436|68419
77574|36262|75061|41455|59995|20416
62162|58436|70406|35785|62064|23342
40017|50390|5813|33216|61136|20764
49479|14977|58254|78055|66396|31050
9036|29244|44069|72469|20007|14183
14314|22764|4833|77255|5739|64901
54145|58370|75283|62701|21732|26483
36939|46264|72736|78486|59500|15717
13269|32246|19937|26267|38005|38996
24486|52305|66046|59500|72145|63081
31685|23513|48380|4703|75097|13121
55613|14681|50803|37023|14877|47881
10307|14366|3990|9211|64463|8501
31085|75101|6601|65212|56719|60540
12152|20695|59737|38238|43879|3587
1399|35021|47737|24018|42396|21703
47621|30374|14498|33820|26748|28403
77524|3078|63420|44061|58109|49464
72017|5806|4410|40589|32649|59311
68427|64371|78397|17001|78553|63382
45238|24123|53758|19333|257|33080
1777|61633|28531|43021|47456|71090
64596|65424|4773|20512|18826|52010
53660|74437|35610|69764|24219|17739
53793|44738|57134|59496|28629|35498
53003|52807|43532|20700|52870|14877
30144|27592|45072|41162|45135|68141
59985|29379|20048|12051|59865|56184
5384|38044|18081|68207|37565|15978
70911|33826|28311|33062|25267|77498
54790|7272|47874|19920|58545|51257
66903|12133|15802|48676|45900|37401
49099|22716|22603|52569|13761|73090
35947|18081|37565|68207|26466|37723
18424|39067|37618|49036|46242|66925
1177|59048|16845|73766|7066|27414
25513|73662|53473|31129|75603|53846
56477|18490|75351|14684|36670|41497
19649|29923|49994|37916|72225|77847
28731|47511|78405|2982|75351|765
35048|68733|66363|50094|61779|19660
47192|60872|75876|58519|78556|29134
56453|64810|57889|33318|3155|29277
56939|29065|24082|64021|48021|37723
18904|64441|75128|74923|37692|29341
44025|75472|71614|20111|31771|70302
9012|18604|22789|37567|34649|28478
5892|3594|7635|60933|78542|25737
5119|12051|22152|22603|3990|5472
19874|35158|20188|71265|74387|67042
41477|53120|62341|34462|68302|21486
45068|37855|32391|44509|61431|9725
61261|56509|24465|39946|78309|20670
52685|69485|75868|56184|59865|44830
